what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333396163589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333396164173
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1333396164271
error,log,,,"Unexpected error while validating OAuthConsumerInfoManager.java",1333396164560
error,log,,,"Unexpected error while validating FlickrServerConstants.java",1333396164560
error,log,,,"Unexpected error while validating FlickrHelper.java",1333396164561
error,log,,,"Unexpected error while validating FlickrAPIOAuth.java",1333396164562
error,log,,,"Unexpected error while validating FlickrPhotoDAOImpl.java",1333396164562
error,log,,,"Unexpected error while validating ProcessPhotosetActionController.java",1333396164564
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333396166318
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1333396171430
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333396171942
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333396178378
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333396179283
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.run",1333396183442
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333396185638
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333396187597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333396188926
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1333396189012
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333396189138
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333396190094
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1333396195209
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333396201700
